"Feature","Description"
"TANF_X_AGE_3","'Received TANF' X 'Age is 30-39'"
"TANF_X_AGE_4","'Received TANF' X 'Age is 40-54'"
"TANF_X_AGE_5","'Received TANF' X 'Age is 55-64'"
"TANF_X_AGE_6","'Received TANF' X 'Age is 65+'"
"TANF_X_BMI_UNDER","'Received TANF' X 'Body mass index is underweight'"
"TANF_X_BMI_OVER","'Received TANF' X 'Body mass index is overweight'"
"TANF_X_BMI_OBESE","'Received TANF' X 'Body mass index is obese'"
"TANF_X_BMI_MISSING","'Received TANF' X 'Body mass index is missing'"
"TANF_X_MARRIED","'Received TANF' X 'Married'"
"TANF_X_MARRIED_MISSING","'Received TANF' X 'Marital status is missing'"
"TANF_X_RACE_BLACK","'Received TANF' X 'Race is African American'"
"TANF_X_RACE_HISPANIC","'Received TANF' X 'Ethnicity is Hispanic'"
"TANF_X_RACE_OTHER","'Received TANF' X 'Race is Asian, Native American, or other'"
"TANF_X_RACE_MISSING","'Received TANF' X 'Race is missing'"
"TDI_X_RI_UNEMPLOYMENT","'Received TDI' X 'Average Rhode Island unemployment rate'"
"TDI_X_NAICS_UNEMPLOYMENT","'Received TDI' X 'National annual unemployment rate for worker's industry'"
"TDI_X_UI_EXHAUSTION","'Received TDI' X 'Exhausted UI benefits'"
"TDI_X_WAGES","'Received TDI' X 'Wages in previous quarter'"
"TDI_X_EMPLOYERS","'Received TDI' X 'Number of employers in previous quarter'"
"TDI_X_HAS_WAGES","'Received TDI' X 'Has Rhode Island wages in previous quarter'"
"TDI_X_DOC_COMMITED","'Received TDI' X 'Committed to a corrections facility'"
"TDI_X_DOC_RELEASED","'Received TDI' X 'Released from a corrections facility'"
"TDI_X_DOC_CHARGED","'Received TDI' X 'Charged with a crime'"
"TDI_X_MEDICAID_INST_PAY","'Received TDI' X 'Average monthly medical payments to institutions'"
"TDI_X_MEDICAID_PROF_PAY","'Received TDI' X 'Average monthly medical payments to professionals'"
"TDI_X_MEDICAID_NURS_PAY","'Received TDI' X 'Average monthly medical payments to nursing homes'"
"TDI_X_MEDICAID_INST_BILL","'Received TDI' X 'Average monthly medical bills from institutions'"
"TDI_X_MEDICAID_PROF_BILL","'Received TDI' X 'Average monthly medical bills from professionals'"
"TDI_X_MEDICAID_NURS_BILL","'Received TDI' X 'Average monthly medical bills from nursing homes'"
"TDI_X_MEDICAID_INST_VISITS","'Received TDI' X 'Average monthly medical visits to institutions'"
"TDI_X_MEDICAID_PROF_VISITS","'Received TDI' X 'Average monthly medical visits to professionals'"
"TDI_X_MEDICAID_NURS_VISITS","'Received TDI' X 'Average monthly medical visits to nursing homes'"
"TDI_X_MEDICAID_ED_PAY","'Received TDI' X 'Average monthly ED payments'"
"TDI_X_MEDICAID_ED_PC_PAY","'Received TDI' X 'Average monthly PC-treatable ED payments'"
"TDI_X_MEDICAID_ED_BILL","'Received TDI' X 'Average monthly ED bills'"
"TDI_X_MEDICAID_ED_PC_BILL","'Received TDI' X 'Average monthly PC-treatable ED bills'"
"TDI_X_MEDICAID_ED_VISITS","'Received TDI' X 'Average monthly ED visits'"
"TDI_X_MEDICAID_ED_PC_VISITS","'Received TDI' X 'Average monthly PC-tretable ED visits'"
"TDI_X_MEDICAID_RX_COST","'Received TDI' X 'Average monthly pharmcy costs'"
"TDI_X_MEDICAID_RX_DRUGS","'Received TDI' X 'Average monthly number of prescription drugs'"
"TDI_X_SEX_M","'Received TDI' X 'Sex is male'"
"TDI_X_LANG_SPANISH","'Received TDI' X 'Primary language is Spanish'"
"TDI_X_LANG_PORTU","'Received TDI' X 'Primary language is Portuguese'"
"TDI_X_LANG_OTHER","'Received TDI' X 'Primary language is not English, Spanish, or Portuguese'"
"TDI_X_MEDICAID_N_IDS","'Received TDI' X 'Number of unique Medicaid IDs'"
"TDI_X_MEDICAID_PREGNANT","'Received TDI' X 'Medicaid eligibility contains 'pregnant''"
"TDI_X_MEDICAID_POSTPARTUM","'Received TDI' X 'Medicaid eligibility contains 'postpartum''"
"TDI_X_MEDICAID_BLIND","'Received TDI' X 'Medicaid eligibility contains 'blind''"
"TDI_X_MEDICAID_DISABLED","'Received TDI' X 'Medicaid eligibility contains 'disabled''"
"TDI_X_MEDICAID_ALIEN","'Received TDI' X 'Medicaid eligibility contains 'alien''"
"TDI_X_MEDICAID_CHILD","'Received TDI' X 'Medicaid eligibility contains 'child''"
"TDI_X_MEDICAID_MED_NEEDY","'Received TDI' X 'Medicaid eligibility as medically needy'"
"TDI_X_MEDICAID_MANAGED_CARE","'Received TDI' X 'Enrolled in Medicaid managed care'"
"TDI_X_MEDICAID_PREM_PAYMENT","'Received TDI' X 'Enrolled in Medicaid premium payment plan'"
"TDI_X_MEDICAID_PAYER_CMAP","'Received TDI' X 'Enrolled in RI Community Medication Assistance Program'"
"TDI_X_MEDICAID_PAYER_DOC","'Received TDI' X 'Medicaid payer code is Department of Corrections'"
"TDI_X_MEDICAID_PAYER_AIDS","'Received TDI' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"TDI_X_MEDICAID_PAYER_ORS","'Received TDI' X 'Medicaid payer code is ORS'"
"TDI_X_MEDICAID_PAYER_RIPAE","'Received TDI' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"TDI_X_DHS_HH_BIRTH","'Received TDI' X 'New birth in the DHS household'"
"TDI_X_GEOCODED","'Received TDI' X 'Has a geocoded home address'"
"TDI_X_BLKGRP_MEDIANINCOME","'Received TDI' X 'Block group's median annual household income (2015 dollars)'"
"TDI_X_BLKGRP_BELOWFPL","'Received TDI' X 'Share of block group below poverty line'"
"TDI_X_AGE_1","'Received TDI' X 'Age is 18-23'"
"TDI_X_AGE_2","'Received TDI' X 'Age is 24-29'"
"TDI_X_AGE_3","'Received TDI' X 'Age is 30-39'"
"TDI_X_AGE_4","'Received TDI' X 'Age is 40-54'"
"TDI_X_AGE_5","'Received TDI' X 'Age is 55-64'"
"TDI_X_AGE_6","'Received TDI' X 'Age is 65+'"
"TDI_X_BMI_UNDER","'Received TDI' X 'Body mass index is underweight'"
"TDI_X_BMI_OVER","'Received TDI' X 'Body mass index is overweight'"
"TDI_X_BMI_OBESE","'Received TDI' X 'Body mass index is obese'"
"TDI_X_BMI_MISSING","'Received TDI' X 'Body mass index is missing'"
"TDI_X_MARRIED","'Received TDI' X 'Married'"
"TDI_X_MARRIED_MISSING","'Received TDI' X 'Marital status is missing'"
"TDI_X_RACE_BLACK","'Received TDI' X 'Race is African American'"
"TDI_X_RACE_HISPANIC","'Received TDI' X 'Ethnicity is Hispanic'"
"TDI_X_RACE_OTHER","'Received TDI' X 'Race is Asian, Native American, or other'"
"TDI_X_RACE_MISSING","'Received TDI' X 'Race is missing'"
"UI_X_RI_UNEMPLOYMENT","'Received UI' X 'Average Rhode Island unemployment rate'"
"UI_X_NAICS_UNEMPLOYMENT","'Received UI' X 'National annual unemployment rate for worker's industry'"
"UI_X_UI_EXHAUSTION","'Received UI' X 'Exhausted UI benefits'"
"UI_X_WAGES","'Received UI' X 'Wages in previous quarter'"
"UI_X_EMPLOYERS","'Received UI' X 'Number of employers in previous quarter'"
"UI_X_HAS_WAGES","'Received UI' X 'Has Rhode Island wages in previous quarter'"
"UI_X_DOC_COMMITED","'Received UI' X 'Committed to a corrections facility'"
"UI_X_DOC_RELEASED","'Received UI' X 'Released from a corrections facility'"
"UI_X_DOC_CHARGED","'Received UI' X 'Charged with a crime'"
"UI_X_MEDICAID_INST_PAY","'Received UI' X 'Average monthly medical payments to institutions'"
"UI_X_MEDICAID_PROF_PAY","'Received UI' X 'Average monthly medical payments to professionals'"
"UI_X_MEDICAID_NURS_PAY","'Received UI' X 'Average monthly medical payments to nursing homes'"
"UI_X_MEDICAID_INST_BILL","'Received UI' X 'Average monthly medical bills from institutions'"
"UI_X_MEDICAID_PROF_BILL","'Received UI' X 'Average monthly medical bills from professionals'"
"UI_X_MEDICAID_NURS_BILL","'Received UI' X 'Average monthly medical bills from nursing homes'"
"UI_X_MEDICAID_INST_VISITS","'Received UI' X 'Average monthly medical visits to institutions'"
"UI_X_MEDICAID_PROF_VISITS","'Received UI' X 'Average monthly medical visits to professionals'"
"UI_X_MEDICAID_NURS_VISITS","'Received UI' X 'Average monthly medical visits to nursing homes'"
"UI_X_MEDICAID_ED_PAY","'Received UI' X 'Average monthly ED payments'"
"UI_X_MEDICAID_ED_PC_PAY","'Received UI' X 'Average monthly PC-treatable ED payments'"
"UI_X_MEDICAID_ED_BILL","'Received UI' X 'Average monthly ED bills'"
"UI_X_MEDICAID_ED_PC_BILL","'Received UI' X 'Average monthly PC-treatable ED bills'"
"UI_X_MEDICAID_ED_VISITS","'Received UI' X 'Average monthly ED visits'"
"UI_X_MEDICAID_ED_PC_VISITS","'Received UI' X 'Average monthly PC-tretable ED visits'"
"UI_X_MEDICAID_RX_COST","'Received UI' X 'Average monthly pharmcy costs'"
"UI_X_MEDICAID_RX_DRUGS","'Received UI' X 'Average monthly number of prescription drugs'"
"UI_X_SEX_M","'Received UI' X 'Sex is male'"
"UI_X_LANG_SPANISH","'Received UI' X 'Primary language is Spanish'"
"UI_X_LANG_PORTU","'Received UI' X 'Primary language is Portuguese'"
"UI_X_LANG_OTHER","'Received UI' X 'Primary language is not English, Spanish, or Portuguese'"
"UI_X_MEDICAID_N_IDS","'Received UI' X 'Number of unique Medicaid IDs'"
"UI_X_MEDICAID_PREGNANT","'Received UI' X 'Medicaid eligibility contains 'pregnant''"
"UI_X_MEDICAID_POSTPARTUM","'Received UI' X 'Medicaid eligibility contains 'postpartum''"
"UI_X_MEDICAID_BLIND","'Received UI' X 'Medicaid eligibility contains 'blind''"
"UI_X_MEDICAID_DISABLED","'Received UI' X 'Medicaid eligibility contains 'disabled''"
"UI_X_MEDICAID_ALIEN","'Received UI' X 'Medicaid eligibility contains 'alien''"
"UI_X_MEDICAID_CHILD","'Received UI' X 'Medicaid eligibility contains 'child''"
"UI_X_MEDICAID_MED_NEEDY","'Received UI' X 'Medicaid eligibility as medically needy'"
"UI_X_MEDICAID_MANAGED_CARE","'Received UI' X 'Enrolled in Medicaid managed care'"
"UI_X_MEDICAID_PREM_PAYMENT","'Received UI' X 'Enrolled in Medicaid premium payment plan'"
"UI_X_MEDICAID_PAYER_CMAP","'Received UI' X 'Enrolled in RI Community Medication Assistance Program'"
"UI_X_MEDICAID_PAYER_DOC","'Received UI' X 'Medicaid payer code is Department of Corrections'"
"UI_X_MEDICAID_PAYER_AIDS","'Received UI' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"UI_X_MEDICAID_PAYER_ORS","'Received UI' X 'Medicaid payer code is ORS'"
"UI_X_MEDICAID_PAYER_RIPAE","'Received UI' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"UI_X_DHS_HH_BIRTH","'Received UI' X 'New birth in the DHS household'"
"UI_X_GEOCODED","'Received UI' X 'Has a geocoded home address'"
"UI_X_BLKGRP_MEDIANINCOME","'Received UI' X 'Block group's median annual household income (2015 dollars)'"
"UI_X_BLKGRP_BELOWFPL","'Received UI' X 'Share of block group below poverty line'"
"UI_X_AGE_1","'Received UI' X 'Age is 18-23'"
"UI_X_AGE_2","'Received UI' X 'Age is 24-29'"
"UI_X_AGE_3","'Received UI' X 'Age is 30-39'"
"UI_X_AGE_4","'Received UI' X 'Age is 40-54'"
"UI_X_AGE_5","'Received UI' X 'Age is 55-64'"
"UI_X_AGE_6","'Received UI' X 'Age is 65+'"
"UI_X_BMI_UNDER","'Received UI' X 'Body mass index is underweight'"
"UI_X_BMI_OVER","'Received UI' X 'Body mass index is overweight'"
"UI_X_BMI_OBESE","'Received UI' X 'Body mass index is obese'"
"UI_X_BMI_MISSING","'Received UI' X 'Body mass index is missing'"
"UI_X_MARRIED","'Received UI' X 'Married'"
"UI_X_MARRIED_MISSING","'Received UI' X 'Marital status is missing'"
"UI_X_RACE_BLACK","'Received UI' X 'Race is African American'"
"UI_X_RACE_HISPANIC","'Received UI' X 'Ethnicity is Hispanic'"
"UI_X_RACE_OTHER","'Received UI' X 'Race is Asian, Native American, or other'"
"UI_X_RACE_MISSING","'Received UI' X 'Race is missing'"
"MEDICAID_DISEASE_SCORE_X_RI_UNEMPLOYMENT","'Number of AHRQ CCS diseases' X 'Average Rhode Island unemployment rate'"
"MEDICAID_DISEASE_SCORE_X_NAICS_UNEMPLOYMENT","'Number of AHRQ CCS diseases' X 'National annual unemployment rate for worker's industry'"
"MEDICAID_DISEASE_SCORE_X_UI_EXHAUSTION","'Number of AHRQ CCS diseases' X 'Exhausted UI benefits'"
"MEDICAID_DISEASE_SCORE_X_WAGES","'Number of AHRQ CCS diseases' X 'Wages in previous quarter'"
"MEDICAID_DISEASE_SCORE_X_EMPLOYERS","'Number of AHRQ CCS diseases' X 'Number of employers in previous quarter'"
"MEDICAID_DISEASE_SCORE_X_HAS_WAGES","'Number of AHRQ CCS diseases' X 'Has Rhode Island wages in previous quarter'"
"MEDICAID_DISEASE_SCORE_X_DOC_COMMITED","'Number of AHRQ CCS diseases' X 'Committed to a corrections facility'"
"MEDICAID_DISEASE_SCORE_X_DOC_RELEASED","'Number of AHRQ CCS diseases' X 'Released from a corrections facility'"
"MEDICAID_DISEASE_SCORE_X_DOC_CHARGED","'Number of AHRQ CCS diseases' X 'Charged with a crime'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_INST_PAY","'Number of AHRQ CCS diseases' X 'Average monthly medical payments to institutions'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PROF_PAY","'Number of AHRQ CCS diseases' X 'Average monthly medical payments to professionals'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_NURS_PAY","'Number of AHRQ CCS diseases' X 'Average monthly medical payments to nursing homes'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_INST_BILL","'Number of AHRQ CCS diseases' X 'Average monthly medical bills from institutions'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PROF_BILL","'Number of AHRQ CCS diseases' X 'Average monthly medical bills from professionals'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_NURS_BILL","'Number of AHRQ CCS diseases' X 'Average monthly medical bills from nursing homes'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_INST_VISITS","'Number of AHRQ CCS diseases' X 'Average monthly medical visits to institutions'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PROF_VISITS","'Number of AHRQ CCS diseases' X 'Average monthly medical visits to professionals'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_NURS_VISITS","'Number of AHRQ CCS diseases' X 'Average monthly medical visits to nursing homes'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ED_PAY","'Number of AHRQ CCS diseases' X 'Average monthly ED payments'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ED_PC_PAY","'Number of AHRQ CCS diseases' X 'Average monthly PC-treatable ED payments'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ED_BILL","'Number of AHRQ CCS diseases' X 'Average monthly ED bills'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ED_PC_BILL","'Number of AHRQ CCS diseases' X 'Average monthly PC-treatable ED bills'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ED_VISITS","'Number of AHRQ CCS diseases' X 'Average monthly ED visits'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ED_PC_VISITS","'Number of AHRQ CCS diseases' X 'Average monthly PC-tretable ED visits'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_RX_COST","'Number of AHRQ CCS diseases' X 'Average monthly pharmcy costs'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_RX_DRUGS","'Number of AHRQ CCS diseases' X 'Average monthly number of prescription drugs'"
"MEDICAID_DISEASE_SCORE_X_SEX_M","'Number of AHRQ CCS diseases' X 'Sex is male'"
"MEDICAID_DISEASE_SCORE_X_LANG_SPANISH","'Number of AHRQ CCS diseases' X 'Primary language is Spanish'"
"MEDICAID_DISEASE_SCORE_X_LANG_PORTU","'Number of AHRQ CCS diseases' X 'Primary language is Portuguese'"
"MEDICAID_DISEASE_SCORE_X_LANG_OTHER","'Number of AHRQ CCS diseases' X 'Primary language is not English, Spanish, or Portuguese'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_N_IDS","'Number of AHRQ CCS diseases' X 'Number of unique Medicaid IDs'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PREGNANT","'Number of AHRQ CCS diseases' X 'Medicaid eligibility contains 'pregnant''"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_POSTPARTUM","'Number of AHRQ CCS diseases' X 'Medicaid eligibility contains 'postpartum''"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_BLIND","'Number of AHRQ CCS diseases' X 'Medicaid eligibility contains 'blind''"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_DISABLED","'Number of AHRQ CCS diseases' X 'Medicaid eligibility contains 'disabled''"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_ALIEN","'Number of AHRQ CCS diseases' X 'Medicaid eligibility contains 'alien''"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_CHILD","'Number of AHRQ CCS diseases' X 'Medicaid eligibility contains 'child''"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_MED_NEEDY","'Number of AHRQ CCS diseases' X 'Medicaid eligibility as medically needy'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_MANAGED_CARE","'Number of AHRQ CCS diseases' X 'Enrolled in Medicaid managed care'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PREM_PAYMENT","'Number of AHRQ CCS diseases' X 'Enrolled in Medicaid premium payment plan'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PAYER_CMAP","'Number of AHRQ CCS diseases' X 'Enrolled in RI Community Medication Assistance Program'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PAYER_DOC","'Number of AHRQ CCS diseases' X 'Medicaid payer code is Department of Corrections'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PAYER_AIDS","'Number of AHRQ CCS diseases' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PAYER_ORS","'Number of AHRQ CCS diseases' X 'Medicaid payer code is ORS'"
"MEDICAID_DISEASE_SCORE_X_MEDICAID_PAYER_RIPAE","'Number of AHRQ CCS diseases' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"MEDICAID_DISEASE_SCORE_X_DHS_HH_BIRTH","'Number of AHRQ CCS diseases' X 'New birth in the DHS household'"
"MEDICAID_DISEASE_SCORE_X_GEOCODED","'Number of AHRQ CCS diseases' X 'Has a geocoded home address'"
"MEDICAID_DISEASE_SCORE_X_BLKGRP_MEDIANINCOME","'Number of AHRQ CCS diseases' X 'Block group's median annual household income (2015 dollars)'"
"MEDICAID_DISEASE_SCORE_X_BLKGRP_BELOWFPL","'Number of AHRQ CCS diseases' X 'Share of block group below poverty line'"
"MEDICAID_DISEASE_SCORE_X_AGE_1","'Number of AHRQ CCS diseases' X 'Age is 18-23'"
"MEDICAID_DISEASE_SCORE_X_AGE_2","'Number of AHRQ CCS diseases' X 'Age is 24-29'"
"MEDICAID_DISEASE_SCORE_X_AGE_3","'Number of AHRQ CCS diseases' X 'Age is 30-39'"
"MEDICAID_DISEASE_SCORE_X_AGE_4","'Number of AHRQ CCS diseases' X 'Age is 40-54'"
"MEDICAID_DISEASE_SCORE_X_AGE_5","'Number of AHRQ CCS diseases' X 'Age is 55-64'"
"MEDICAID_DISEASE_SCORE_X_AGE_6","'Number of AHRQ CCS diseases' X 'Age is 65+'"
"MEDICAID_DISEASE_SCORE_X_BMI_UNDER","'Number of AHRQ CCS diseases' X 'Body mass index is underweight'"
"MEDICAID_DISEASE_SCORE_X_BMI_OVER","'Number of AHRQ CCS diseases' X 'Body mass index is overweight'"
"MEDICAID_DISEASE_SCORE_X_BMI_OBESE","'Number of AHRQ CCS diseases' X 'Body mass index is obese'"
"MEDICAID_DISEASE_SCORE_X_BMI_MISSING","'Number of AHRQ CCS diseases' X 'Body mass index is missing'"
"MEDICAID_DISEASE_SCORE_X_MARRIED","'Number of AHRQ CCS diseases' X 'Married'"
"MEDICAID_DISEASE_SCORE_X_MARRIED_MISSING","'Number of AHRQ CCS diseases' X 'Marital status is missing'"
"MEDICAID_DISEASE_SCORE_X_RACE_BLACK","'Number of AHRQ CCS diseases' X 'Race is African American'"
"MEDICAID_DISEASE_SCORE_X_RACE_HISPANIC","'Number of AHRQ CCS diseases' X 'Ethnicity is Hispanic'"
"MEDICAID_DISEASE_SCORE_X_RACE_OTHER","'Number of AHRQ CCS diseases' X 'Race is Asian, Native American, or other'"
"MEDICAID_DISEASE_SCORE_X_RACE_MISSING","'Number of AHRQ CCS diseases' X 'Race is missing'"
"MEDICAID_DISEASE_SCORE_X_SNAP_PAYMENTS","'Number of AHRQ CCS diseases' X 'Average monthly SNAP payments'"
"MEDICAID_DISEASE_SCORE_X_TANF_PAYMENTS","'Number of AHRQ CCS diseases' X 'Average monthly TANF payments'"
"MEDICAID_DISEASE_SCORE_X_TDI_PAYMENTS","'Number of AHRQ CCS diseases' X 'Average monthly TDI payments'"
"MEDICAID_DISEASE_SCORE_X_UI_PAYMENTS","'Number of AHRQ CCS diseases' X 'Average monthly UI payments'"
"MEDICAID_DISEASE_SCORE_X_SNAP","'Number of AHRQ CCS diseases' X 'Received SNAP'"
"MEDICAID_DISEASE_SCORE_X_TANF","'Number of AHRQ CCS diseases' X 'Received TANF'"
"MEDICAID_DISEASE_SCORE_X_TDI","'Number of AHRQ CCS diseases' X 'Received TDI'"
"MEDICAID_DISEASE_SCORE_X_UI","'Number of AHRQ CCS diseases' X 'Received UI'"
"MEDICAID_CHRONIC_SCORE_X_RI_UNEMPLOYMENT","'Number of AHRQ CCI chronic conditions' X 'Average Rhode Island unemployment rate'"
"MEDICAID_CHRONIC_SCORE_X_NAICS_UNEMPLOYMENT","'Number of AHRQ CCI chronic conditions' X 'National annual unemployment rate for worker's industry'"
"MEDICAID_CHRONIC_SCORE_X_UI_EXHAUSTION","'Number of AHRQ CCI chronic conditions' X 'Exhausted UI benefits'"
"MEDICAID_CHRONIC_SCORE_X_WAGES","'Number of AHRQ CCI chronic conditions' X 'Wages in previous quarter'"
"MEDICAID_CHRONIC_SCORE_X_EMPLOYERS","'Number of AHRQ CCI chronic conditions' X 'Number of employers in previous quarter'"
"MEDICAID_CHRONIC_SCORE_X_HAS_WAGES","'Number of AHRQ CCI chronic conditions' X 'Has Rhode Island wages in previous quarter'"
"MEDICAID_CHRONIC_SCORE_X_DOC_COMMITED","'Number of AHRQ CCI chronic conditions' X 'Committed to a corrections facility'"
"MEDICAID_CHRONIC_SCORE_X_DOC_RELEASED","'Number of AHRQ CCI chronic conditions' X 'Released from a corrections facility'"
"MEDICAID_CHRONIC_SCORE_X_DOC_CHARGED","'Number of AHRQ CCI chronic conditions' X 'Charged with a crime'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_INST_PAY","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical payments to institutions'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_PROF_PAY","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical payments to professionals'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_NURS_PAY","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical payments to nursing homes'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_INST_BILL","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical bills from institutions'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_PROF_BILL","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical bills from professionals'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_NURS_BILL","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical bills from nursing homes'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_INST_VISITS","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical visits to institutions'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_PROF_VISITS","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical visits to professionals'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_NURS_VISITS","'Number of AHRQ CCI chronic conditions' X 'Average monthly medical visits to nursing homes'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ED_PAY","'Number of AHRQ CCI chronic conditions' X 'Average monthly ED payments'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ED_PC_PAY","'Number of AHRQ CCI chronic conditions' X 'Average monthly PC-treatable ED payments'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ED_BILL","'Number of AHRQ CCI chronic conditions' X 'Average monthly ED bills'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ED_PC_BILL","'Number of AHRQ CCI chronic conditions' X 'Average monthly PC-treatable ED bills'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ED_VISITS","'Number of AHRQ CCI chronic conditions' X 'Average monthly ED visits'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ED_PC_VISITS","'Number of AHRQ CCI chronic conditions' X 'Average monthly PC-tretable ED visits'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_RX_COST","'Number of AHRQ CCI chronic conditions' X 'Average monthly pharmcy costs'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_RX_DRUGS","'Number of AHRQ CCI chronic conditions' X 'Average monthly number of prescription drugs'"
"MEDICAID_CHRONIC_SCORE_X_SEX_M","'Number of AHRQ CCI chronic conditions' X 'Sex is male'"
"MEDICAID_CHRONIC_SCORE_X_LANG_SPANISH","'Number of AHRQ CCI chronic conditions' X 'Primary language is Spanish'"
"MEDICAID_CHRONIC_SCORE_X_LANG_PORTU","'Number of AHRQ CCI chronic conditions' X 'Primary language is Portuguese'"
"MEDICAID_CHRONIC_SCORE_X_LANG_OTHER","'Number of AHRQ CCI chronic conditions' X 'Primary language is not English, Spanish, or Portuguese'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_N_IDS","'Number of AHRQ CCI chronic conditions' X 'Number of unique Medicaid IDs'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_PREGNANT","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'pregnant''"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_POSTPARTUM","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'postpartum''"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_BLIND","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'blind''"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_DISABLED","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'disabled''"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_ALIEN","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'alien''"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_CHILD","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility contains 'child''"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_MED_NEEDY","'Number of AHRQ CCI chronic conditions' X 'Medicaid eligibility as medically needy'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_MANAGED_CARE","'Number of AHRQ CCI chronic conditions' X 'Enrolled in Medicaid managed care'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_PREM_PAYMENT","'Number of AHRQ CCI chronic conditions' X 'Enrolled in Medicaid premium payment plan'"
"MEDICAID_CHRONIC_SCORE_X_MEDICAID_PAYER_CMAP","'Number of AHRQ CCI chronic conditions' X 'Enrolled in RI Community Medication Assistance Program'"
